# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

38.211.193.0/24,AR,AR-M,Mendoza,5500
149.78.132.0/24,AR,AR-M,Mendoza,5500
45.186.204.0/22,AR,AR-L,Trenel,
179.0.156.0/22,UY,UY-MO,Montevideo,
200.7.84.0/23,UY,UY-MO,Montevideo,
200.7.86.0/23,UY,UY-MO,Montevideo,
200.10.62.0/23,UY,UY-MO,Montevideo,
2001:13c7:7001::/48,UY,UY-MO,Montevideo,
2801:1b8::/44,UY,UY-MO,Montevideo,
200.10.60.0/23,BR,BR-SP,Sao Paulo,
2001:13c7:7002::/48,BR,BR-SP,Sao Paulo,
2001:13c7:7010::/46,BR,BR-SP,Sao Paulo,
200.108.120.72/29,CL,CL-RM,Santiago,
2001:1226::/32,MX,MX-GUA,Doctor Mora,
200.80.255.0/24,AR,AR-B,Buenos Aires,
177.126.48.0/24,PE,PE-ARE,Socabaya,
200.63.112.0/21,AR,AR-S,Santa Fe,
2803:e100::/32,AR,AR-S,Santa Fe,
168.232.76.0/22,GT,GT-GU,Guatemala,
181.114.0.0/19,GT,GT-GU,Guatemala,
2001:1360::/32,GT,GT-GU,Guatemala,
2803:ba00::/32,GT,GT-GU,Guatemala,
190.61.37.0/24,HN,HN-FM,Francisco Morazan,
190.61.33.0/24,SV,SV-SS,San Salvador,
190.61.34.0/24,SV,SV-SS,San Salvador,
190.61.38.0/24,SV,SV-SS,San Salvador,
190.61.35.0/24,CR,CR-SJ,San Jose,
190.61.36.0/24,CR,CR-SJ,San Jose,
201.159.112.0/23,SV,SV-SS,San Salvador,
201.159.114.0/23,HN,HN-FM,Francisco Morazan,
200.229.147.0/24,HN,HN-FM,Francisco Morazan,
143.202.20.0/22,AR,AR-B,Buenos Aires,
2803:4e40::/32,AR,AR-B,Buenos Aires,
45.228.64.0/24,UY,UY-MO,Montevideo,
45.238.12.0/22,AR,AR-B,Buenos Aires,
2803:6ca0::/32,AR,AR-B,Buenos Aires,
170.150.64.0/22,AR,AR-T,Tucuman,
191.103.96.0/20,AR,AR-T,Tucuman,
2803:ba80::/32,AR,AR-T,Tucuman,
45.163.136.0/22,CR,CR-SJ,San Jose,
2803:21a0::/32,CR,CR-SJ,San Jose,
45.65.200.0/24,CO,CO-MAG,Santa Marta,
170.83.76.0/22,VE,VE-A,Caracas,
2801:1e:3000::/48,CO,CO-MAG,Santa Marta,
201.182.16.0/22,AR,AR-B,America,
2803:a020::/32,AR,AR-B,America,
190.242.142.48/28,CO,CO-BOL,Cartagena,
45.237.44.0/22,PY,PY-5,Juan Eulogio Estigarribia,
2803:b8a0::/32,PY,PY-5,Juan Eulogio Estigarribia,
2801:13:2000::/48,AR,AR-B,Mar del Tuyu,
192.100.254.0/24,AR,AR-B,Mar del Tuyu,
45.167.220.0/22,AR,AR-B,chascomus,
45.170.104.0/22,PY,PY-14,Katuete,
45.228.60.0/22,PY,PY-19,Filadelfia,
200.3.12.0/22,BR,BR-SP,Sao Paulo,
2803:9ba0::/32,PY,PY-14,Katuete,
144.22.0.0/16,BR,BR-SP,Sao Paulo,
2803:8320::/32,CL,CL-RM,Santiago,
170.84.212.0/22,AR,AR-S,RAFAELA,
187.251.12.0/23,CL,,Santiago,
45.229.44.0/22,AR,AR-Q,Neuqu�n,
2803:e520::/32,AR,AR-Q,Neuqu�n,
138.255.248.0/22,DO,DO-09,Moca,
170.245.164.0/22,DO,DO-09,Moca,
170.254.64.0/22,DO,DO-09,Moca,
2803:9640::/32,DO,DO-09,Moca,
45.6.40.0/22,DO,DO-25,Tamboril,
2803:19c0::/32,DO,DO-25,Tamboril,
181.192.64.0/20,AR,AR-B,san bernardo,
200.229.216.0/24,VE,VE-A,Caracas,
200.229.217.0/24,VE,VE-A,Caracas,
200.229.218.0/24,VE,VE-G,Valencia,
45.229.196.0/22,PA,PA-8,Panama City,
2803:f520::/32,PA,PA-8,Panama City,
160.20.246.64/27,CR,CR-SJ,San Jose,
160.20.246.16/28,CR,CR-SJ,San Jose,
138.186.140.0/24,MX,MX-CMX,Fuentes del Valle,
138.186.143.0/24,PE,PE-LIM,Santiago de Surco,
45.171.80.0/23,AR,AR-E,La Paz,
45.171.82.0/24,AR,AR-E,La Paz,
2803:fba0::/32,AR,AR-E,La Paz,
190.93.160.0/20,CR,CR-A,Alajuela,
2803:fb40::/32,CR,CR-A,Alajuela,
2800:5a0::/32,AR,AR-S,RAFAELA,
181.119.176.0/22,GT,GT-GU,,
143.202.24.0/22,AR,AR-S,RAFAELA,
181.189.192.0/19,AR,AR-S,RAFAELA,
190.6.96.0/20,AR,AR-S,RAFAELA,
190.6.112.0/21,AR,AR-S,RAFAELA,
200.2.120.0/21,AR,AR-S,RAFAELA,
45.224.156.0/22,AR,AR-S,San Mart�n de las Escobas,
181.119.180.0/22,PA,PA-8,,
45.231.214.0/23,AR,AR-S,Rosario,
2803:220::/32,AR,AR-S,San Mart�n de las Escobas,
45.170.241.0/25,CO,CO-GUV,san jose,
45.170.243.0/26,CO,CO-GUV,san jose,
45.170.241.192/27,CO,CO-LAG,villanueva,
45.170.243.192/27,CO,CO-LAG,villanueva,
45.170.242.32/27,CO,CO-MET,concordia,
45.170.242.0/27,CO,CO-MET,Fuente de oro,
45.170.241.160/27,CO,CO-MET,mapiripan,
45.170.243.128/27,CO,CO-MET,mapiripan,
